pd_itm_no,pd_itm_no_ma,pd_grp_no,pd_abrv_nm,lseg_key,ter,replication,base_market,base_asset,hedge_type,charge_rt_final,charge_rt_source
KR7123310005,A123310,ETF,TIGER 인버스,123310,0.022,실물(패시브),국내,주식,환노출,0.022,LSEG
KR7130730005,A130730,ETF,KIWOOM 단기자금,130730,0.05,실물(패시브),국내,채권,환노출,0.05,LSEG
KR7131890006,A131890,ETF,ACE 삼성그룹동일가중,131890,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7144600004,A144600,ETF,KODEX 은선물(H),144600,0.68,실물(패시브),해외,원자재,환헤지,0.68,LSEG
KR7133690008,A133690,ETF,TIGER 미국나스닥100,133690,0.7,실물(패시브),해외,주식,환노출,0.7,LSEG
KR7138230008,A138230,ETF,KIWOOM 미국달러선물,138230,0.37,실물(패시브),국내,통화,환노출,0.37,RDB
KR7253160006,A253160,ETF,PLUS 200선물인버스2X,253160,0.06,실물(패시브),국내,주식,환노출,0.06,LSEG
KR7138520002,A138520,ETF,TIGER 삼성그룹,138520,0.113,실물(패시브),국내,주식,환노출,0.113,LSEG
KR7138540000,A138540,ETF,TIGER 현대차그룹플러스,138540,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7138910005,A138910,ETF,KODEX 구리선물(H),138910,0.68,실물(패시브),해외,원자재,환헤지,0.68,LSEG
KR7138920004,A138920,ETF,KODEX 콩선물(H),138920,0.68,실물(패시브),해외,원자재,환헤지,0.68,LSEG
KR7143860005,A143860,ETF,TIGER 헬스케어,143860,0.4,실물(패시브),국내,주식,환노출,0.4,RDB
KR7139220008,A139220,ETF,TIGER 200 건설,139220,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7139230007,A139230,ETF,TIGER 200 중공업,139230,0.34,실물(패시브),국내,주식,환노출,0.4,RDB
KR7139250005,A139250,ETF,TIGER 200 에너지화학,139250,0.34,실물(패시브),국내,주식,환노출,0.4,RDB
KRG500000812,Q500081,ETN,신한 S&P 인버스 2X 유로 선물 ETN(H),500081,,,,,,,
KR7139320006,A139320,ETF,TIGER 금은선물(H),139320,0.69,실물(패시브),해외,원자재,환헤지,0.69,LSEG
KR7140570003,A140570,ETF,RISE 수출주,140570,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7140580002,A140580,ETF,RISE 우량업종대표주,140580,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7140950007,A140950,ETF,파워 코스피100,140950,0.155,실물(패시브),국내,주식,환노출,0.155,LSEG
KR7148020001,A148020,ETF,RISE 200,148020,0.017,실물(패시브),국내,주식,환노출,0.017,LSEG
KR7148070006,A148070,ETF,KIWOOM 국고채10년,148070,0.05,실물(패시브),국내,채권,환노출,0.05,LSEG
KR7152380002,A152380,ETF,KODEX 국채선물10년,152380,0.07,실물(패시브),국내,채권,환노출,0.07,LSEG
KR7152870002,A152870,ETF,파워 200,152870,0.145,실물(패시브),국내,주식,환노출,0.145,LSEG
KR7153130000,A153130,ETF,KODEX 단기채권,153130,0.15,실물(패시브),국내,채권,환노출,0.15,RDB
KR7157450008,A157450,ETF,TIGER 단기통안채,157450,0.07,실물(패시브),국내,채권,환노출,0.07,LSEG
KR7157490004,A157490,ETF,TIGER 소프트웨어,157490,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7252420005,A252420,ETF,RISE 200선물인버스2X,252420,0.022,실물(패시브),국내,주식,환노출,0.022,LSEG
KR7159800002,A159800,ETF,마이티 코스피100,159800,0.375,실물(패시브),국내,주식,환노출,0.375,LSEG
KR7166400002,A166400,ETF,TIGER 200커버드콜OTM,166400,0.38,실물(패시브),국내,주식,환노출,0.38,LSEG
KRG500000838,Q500083,ETN,신한 KOFR금리 ETN,500083,,,,,,,
KR7169950003,A169950,ETF,KODEX 차이나A50,169950,0.12,실물(패시브),해외,주식,환노출,0.4,RDB
KR7174350009,A174350,ETF,TIGER 로우볼,174350,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7182480004,A182480,ETF,TIGER 미국MSCI리츠(합성 H),182480,0.24,합성(패시브),해외,부동산,환노출,0.24,LSEG
KR7189400005,A189400,ETF,PLUS 글로벌MSCI(합성 H),189400,0.4,합성(패시브),해외,주식,환노출,0.49,RDB
KR7192720001,A192720,ETF,파워 고배당저변동성,192720,0.23,실물(패시브),국내,주식,환노출,0.23,LSEG
KR7203780002,A203780,ETF,TIGER 미국나스닥바이오,203780,0.3,실물(패시브),해외,주식,환노출,0.3,LSEG
KR7204450001,A204450,ETF,KODEX 차이나H레버리지(H),204450,0.64,실물(패시브),해외,주식,환헤지,0.64,LSEG
KR7210780003,A210780,ETF,TIGER 코스피고배당,210780,0.24,실물(패시브),국내,주식,환노출,0.24,LSEG
KR7219900008,A219900,ETF,ACE 중국본토CSI300레버리지(합성),219900,0.5,합성(패시브),해외,주식,합성,0.5,LSEG
KR7225060003,A225060,ETF,TIGER 이머징마켓MSCI레버리지(합성 H),225060,0.58,합성(패시브),해외,주식,환노출,0.58,LSEG
KR7225130004,A225130,ETF,ACE 골드선물 레버리지(합성 H),225130,0.49,합성(패시브),해외,원자재,환노출,0.49,LSEG
KR7226980001,A226980,ETF,KODEX 200 중소형,226980,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7227540002,A227540,ETF,TIGER 200 헬스케어,227540,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7227560000,A227560,ETF,TIGER 200 생활소비재,227560,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7227570009,A227570,ETF,TIGER 우량가치,227570,0.35,실물(패시브),국내,주식,환노출,0.35,LSEG
KR7230480006,A230480,ETF,KIWOOM 미국달러선물인버스2X,230480,0.64,실물(패시브),국내,통화,환노출,0.64,LSEG
KR7236350005,A236350,ETF,TIGER 인도니프티50레버리지(합성),236350,0.58,합성(패시브),해외,주식,합성,0.59,RDB
KR7237350004,A237350,ETF,KODEX 코스피100,237350,0.15,실물(패시브),국내,주식,환노출,0.4,RDB
KR7237370002,A237370,ETF,KODEX 코리아배당성장채권혼합,237370,0.19,실물(패시브),국내,혼합자산,환노출,0.19,RDB
KRG530001145,Q530114,ETN,삼성 인버스 2X S&P500 선물 ETN,530114,,,,,,,
KR7237440003,A237440,ETF,TIGER 경기방어채권혼합,237440,0.18,실물(패시브),국내,혼합자산,환노출,0.18,LSEG
KR7241180009,A241180,ETF,TIGER 일본니케이225,241180,0.29,실물(패시브),해외,주식,환노출,0.35,RDB
KRG520000966,Q520096,ETN,미래에셋 인버스 2X WTI원유 선물 ETN,520096,,,,,,,
KR7245350004,A245350,ETF,TIGER 유로스탁스배당30,245350,0.35,실물(패시브),해외,주식,환노출,0.35,LSEG
KR7245360003,A245360,ETF,TIGER 차이나HSCEI,245360,0.29,실물(패시브),해외,주식,환노출,0.35,RDB
KR7248270001,A248270,ETF,TIGER S&P글로벌헬스케어(합성),248270,0.4,합성(패시브),해외,주식,합성,0.4,LSEG
KR7250780004,A250780,ETF,TIGER 코스닥150선물인버스,250780,0.32,실물(패시브),국내,주식,환노출,0.52,RDB
KR7251590006,A251590,ETF,PLUS 고배당저변동50,251590,0.23,실물(패시브),국내,주식,환노출,0.23,LSEG
KR7252670005,A252670,ETF,KODEX 200선물인버스2X,252670,0.64,실물(패시브),국내,주식,환노출,0.49,RDB
KRG500000853,Q500085,ETN,신한 코스피 200 TR ETN,500085,,,,,,,
KR7261070007,A261070,ETF,TIGER 코스닥150바이오테크,261070,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7261220008,A261220,ETF,KODEX WTI원유선물(H),261220,0.35,실물(패시브),해외,원자재,환헤지,0.35,LSEG
KR7261920003,A261920,ETF,ACE MSCI필리핀(합성),261920,0.5,합성(패시브),해외,주식,합성,0.5,LSEG
KR7266160001,A266160,ETF,RISE 고배당,266160,0.2,실물(패시브),국내,주식,환노출,0.2,LSEG
KR7266370006,A266370,ETF,KODEX IT,266370,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7267440006,A267440,ETF,RISE 미국장기국채선물(H),267440,0.4,실물(패시브),해외,채권,환헤지,0.4,LSEG
KR7271050007,A271050,ETF,KODEX WTI원유선물인버스(H),271050,0.35,실물(패시브),해외,원자재,환헤지,0.35,LSEG
KR7272570003,A272570,ETF,RISE 중장기국공채액티브,272570,0.07,실물(액티브),국내,채권,환노출,0.07,LSEG
KR7272580002,A272580,ETF,TIGER 단기채권액티브,272580,0.06,실물(액티브),국내,채권,환노출,0.07,RDB
KR7275280006,A275280,ETF,KODEX 모멘텀주,275280,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7275750008,A275750,ETF,RISE 코스닥150선물인버스,275750,0.32,실물(패시브),국내,주식,환노출,0.32,LSEG
KR7275980001,A275980,ETF,TIGER 글로벌4차산업혁신기술(합성 H),275980,0.4,합성(패시브),해외,주식,환노출,0.4,LSEG
KR7277630000,A277630,ETF,TIGER 코스피,277630,0.12,실물(패시브),국내,주식,환노출,0.12,LSEG
KRG502400408,Q500040,ETN,신한 레버리지 구리 선물 ETN,500040,,,,,,,
KR7277650008,A277650,ETF,TIGER 코스피중형주,277650,0.24,실물(패시브),국내,주식,환노출,0.24,LSEG
KR7278240007,A278240,ETF,RISE 코스닥150선물레버리지,278240,0.329,실물(패시브),국내,주식,환노출,0.329,LSEG
KRG500000887,Q500088,ETN,신한 2X 26-05 은행채(AAA) ETN,500088,,,,,,,
KR7279530000,A279530,ETF,KODEX 고배당주,279530,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7284430006,A284430,ETF,KODEX 200미국채혼합50,284430,0.35,실물(패시브),국내&해외,혼합자산,환노출,0.35,LSEG
KR7285690004,A285690,ETF,FOCUS ESG리더스,285690,0.1,실물(패시브),국내,주식,환노출,0.1,RDB
KR7289040008,A289040,ETF,KODEX MSCI KOREA ESG유니버설,289040,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7289670002,A289670,ETF,PLUS 국채선물10년,289670,0.05,실물(패시브),국내,채권,환노출,0.49,RDB
KR7290130004,A290130,ETF,RISE ESG사회책임투자,290130,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7291630002,A291630,ETF,KIWOOM 코스닥150선물레버리지,291630,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KRG500000937,Q500093,ETN,신한 블룸버그 레버리지 WTI원유선물 ETN B,500093,,,,,,,
KR7292560000,A292560,ETF,TIGER 일본엔선물,292560,0.21,실물(패시브),국내,통화,환노출,0.21,LSEG
KR7294400007,A294400,ETF,KIWOOM 200TR,294400,0.012,실물(패시브),국내,주식,환노출,0.012,LSEG
KR7295040000,A295040,ETF,SOL 200TR,295040,0.05,실물(패시브),국내,주식,환노출,0.05,LSEG
KR7298340001,A298340,ETF,PLUS 국채선물3년,298340,0.1,실물(패시브),국내,채권,환노출,0.1,LSEG
KR7298770009,A298770,ETF,KODEX 한국대만IT프리미어,298770,0.55,실물(패시브),국내&해외,주식,환노출,0.55,LSEG
KR7302190004,A302190,ETF,TIGER 중장기국채,302190,0.13,실물(패시브),국내,채권,환노출,0.13,LSEG
KR7304660004,A304660,ETF,KODEX 미국30년국채울트라선물(H),304660,0.3,실물(패시브),해외,채권,환헤지,0.3,LSEG
KR7304940000,A304940,ETF,KODEX 미국나스닥100선물(H),304940,0.05,실물(패시브),해외,주식,환헤지,0.05,LSEG
KR7305050007,A305050,ETF,ACE 코스피,305050,0.02,실물(패시브),국내,주식,환노출,0.02,LSEG
KR7306530007,A306530,ETF,HANARO 코스닥150선물레버리지,306530,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7309230001,A309230,ETF,ACE 미국WideMoat동일가중,309230,0.4,실물(패시브),해외,주식,환노출,0.4,LSEG
KR7310080007,A310080,ETF,RISE 중국MSCI China(H),310080,0.6,실물(패시브),해외,주식,환헤지,0.6,LSEG
KRG510000265,Q510026,ETN,대신 레버리지 코스닥 150 선물 ETN,510026,,,,,,,
KR7310960000,A310960,ETF,TIGER 200TR,310960,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7314250002,A314250,ETF,KODEX 미국빅테크10(H),314250,0.45,실물(패시브),해외,주식,환헤지,0.45,LSEG
KR7315270009,A315270,ETF,TIGER 200커뮤니케이션서비스,315270,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7315960005,A315960,ETF,RISE 대형고배당10TR,315960,0.07,실물(패시브),국내,주식,환노출,0.07,LSEG
KR7316670009,A316670,ETF,KIWOOM 코스닥150,316670,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7322410002,A322410,ETF,HANARO K고배당,322410,0.07,실물(패시브),국내,주식,환노출,0.07,LSEG
KR7328370002,A328370,ETF,PLUS 코스피TR,328370,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KRG510000273,Q510027,ETN,대신 인버스 2X 코스닥 150 선물 ETN,510027,,,,,,,
KR7329650006,A329650,ETF,KODEX TRF3070,329650,0.24,실물(패시브),국내&해외,혼합자산,환노출,0.24,LSEG
KR7332620004,A332620,ETF,PLUS 미국장기우량회사채,332620,0.315,실물(패시브),해외,채권,환노출,0.315,LSEG
KR7332940006,A332940,ETF,HANARO MSCI Korea TR,332940,0.12,실물(패시브),국내,주식,환노출,0.12,LSEG
KR7334690005,A334690,ETF,RISE 팔라듐선물(H),334690,0.6,실물(패시브),해외,원자재,환헤지,0.6,LSEG
KRG500000945,Q500094,ETN,신한 블룸버그 인버스2X WTI원유선물 ETN B,500094,,,,,,,
KR7336160007,A336160,ETF,RISE 금융채액티브,336160,0.07,실물(액티브),국내,채권,환노출,0.07,LSEG
KR7337120000,A337120,ETF,KODEX 멀티팩터,337120,0.3,실물(패시브),국내,주식,환노출,0.3,LSEG
KR7337160006,A337160,ETF,KODEX 200ESG,337160,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7357870005,A357870,ETF,TIGER CD금리투자KIS(합성),357870,0.03,합성(패시브),국내,기타,합성,0.03,LSEG
KR7360150007,A360150,ETF,KODEX 코스닥150롱코스피200숏선물,360150,0.64,실물(패시브),국내,주식,환노출,0.64,LSEG
KR7360750004,A360750,ETF,TIGER 미국S&P500,360750,0.006,실물(패시브),해외,주식,환노출,0.006,LSEG
KR7361580004,A361580,ETF,RISE 200TR,361580,0.012,실물(패시브),국내,주식,환노출,0.012,LSEG
KR7412560005,A412560,ETF,TIGER BBIG레버리지,412560,0.59,실물(패시브),국내,주식,환노출,0.59,LSEG
KR7363570003,A363570,ETF,KODEX 장기종합채권(AA-이상)액티브,363570,0.045,실물(액티브),국내,채권,환노출,0.045,LSEG
KR7364960005,A364960,ETF,TIGER BBIG,364960,0.4,실물(패시브),국내,주식,환노출,0.4,LSEG
KR7365780006,A365780,ETF,ACE 국고채10년,365780,0.02,실물(패시브),국내,채권,환노출,0.02,LSEG
KR7367380003,A367380,ETF,ACE 미국나스닥100,367380,0.006,실물(패시브),해외,주식,환노출,0.006,LSEG
KR7367760006,A367760,ETF,RISE 네트워크인프라,367760,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7368190005,A368190,ETF,HANARO Fn K-뉴딜디지털플러스,368190,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7371460007,A371460,ETF,TIGER 차이나전기차SOLACTIVE,371460,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7438210007,A438210,ETF,PLUS 글로벌AI,438210,,,,,,,
KR7373790005,A373790,ETF,KIWOOM 미국방어배당성장나스닥,373790,0.4,실물(패시브),해외,주식,환노출,0.4,LSEG
KR7375270006,A375270,ETF,RISE 글로벌데이터센터리츠(합성),375270,0.4,합성(패시브),해외,부동산,합성,0.4,LSEG
KR7375760006,A375760,ETF,HANARO 탄소효율그린뉴딜,375760,0.2,실물(패시브),국내,주식,환노출,0.2,LSEG
KR7375770005,A375770,ETF,KODEX 탄소효율그린뉴딜,375770,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7379790009,A379790,ETF,RISE 유로스탁스50(H),379790,0.021,실물(패시브),해외,주식,환헤지,0.021,LSEG
KR7379800006,A379800,ETF,KODEX 미국S&P500,379800,0.006,실물(패시브),해외,주식,환노출,0.006,LSEG
KR7381180009,A381180,ETF,TIGER 미국필라델피아반도체나스닥,381180,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KRG550000795,Q550079,ETN,N2 S&P500 버퍼10% 12월 ETN(H),550079,,,,,,,
KR7381560002,A381560,ETF,HANARO Fn전기&수소차,381560,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7381570001,A381570,ETF,HANARO Fn친환경에너지,381570,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7385510003,A385510,ETF,KODEX 신재생에너지액티브,385510,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7385540000,A385540,ETF,RISE 종합채권(A-이상)액티브,385540,0.012,실물(액티브),국내,채권,환노출,0.012,LSEG
KR7385590005,A385590,ETF,ACE ESG액티브,385590,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7385600002,A385600,ETF,ACE 2차전지&친환경차액티브,385600,0.29,실물(액티브),국내,주식,환노출,0.29,LSEG
KR7387280001,A387280,ETF,TIGER 퓨처모빌리티액티브,387280,0.77,실물(액티브),국내,주식,환노출,0.77,LSEG
KRG500001026,Q500102,ETN,신한 블룸버그 2X 천연가스 선물 ETN B,500102,,,,,,,
KR7390390003,A390390,ETF,KODEX 미국반도체,390390,0.09,실물(패시브),해외,주식,환노출,0.09,LSEG
KR7390950004,A390950,ETF,HANARO 단기채권액티브,390950,,,,,,,
KR7391600004,A391600,ETF,ACE 미국친환경그린테마,391600,0.7,실물(패시브),해외,주식,환노출,0.7,LSEG
KR7394660005,A394660,ETF,TIGER 글로벌자율주행&전기차SOLACTIVE,394660,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7395760002,A395760,ETF,PLUS ESG성장주액티브,395760,0.105,실물(액티브),국내,주식,환노출,0.105,LSEG
KR7396520009,A396520,ETF,TIGER 차이나반도체FACTSET,396520,0.49,실물(패시브),해외,주식,환노출,0.49,LSEG
KR7399110006,A399110,ETF,SOL 미국S&P500ESG,399110,0.15,실물(패시브),해외,주식,환노출,0.15,LSEG
KR7400570008,A400570,ETF,KODEX 유럽탄소배출권선물ICE(H),400570,0.64,실물(패시브),해외,기타,환헤지,0.64,LSEG
KR7400580007,A400580,ETF,SOL 유럽탄소배출권선물S&P(H),400580,0.55,실물(패시브),해외,기타,환헤지,0.55,LSEG
KR7400970000,A400970,ETF,TIGER Fn메타버스,400970,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KRG570000569,Q570056,ETN,한투 인버스금선물 ETN,570056,,,,,,,
KR7403790009,A403790,ETF,MIDAS 코스피액티브,403790,0.62,실물(액티브),국내,주식,환노출,0.62,LSEG
KR7404260002,A404260,ETF,KODEX 기후변화솔루션,404260,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7404540007,A404540,ETF,TIGER KRX기후변화솔루션,404540,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7407170000,A407170,ETF,KCGI 스마트커머스액티브,407170,,,,,,,
KR7407300003,A407300,ETF,HANARO Fn골프테마,407300,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7411420003,A411420,ETF,KODEX 미국나스닥AI테크액티브,411420,0.5,실물(액티브),해외,주식,환노출,0.5,LSEG
KR7413220005,A413220,ETF,SOL 차이나태양광CSI(합성),413220,0.5,합성(패시브),해외,주식,합성,0.5,LSEG
KR7413930009,A413930,ETF,WON AI ESG액티브,413930,0.31,실물(액티브),국내,주식,환노출,0.31,LSEG
KR7416090009,A416090,ETF,ACE 중국과창판STAR50,416090,0.5,실물(패시브),해외,주식,환노출,0.5,LSEG
KR7419170006,A419170,ETF,HANARO 미국메타버스iSelect,419170,,,,,,,
KR7419420005,A419420,ETF,KODEX 미국클린에너지나스닥,419420,0.45,실물(패시브),해외,주식,환노출,0.45,LSEG
KR7422420000,A422420,ETF,RISE 2차전지액티브,422420,0.35,실물(액티브),국내,주식,환노출,0.35,LSEG
KR7427110002,A427110,ETF,RISE 창업투자회사,427110,,,,,,,
KR7428510002,A428510,ETF,KODEX 차이나AI테크액티브,428510,0.5,실물(액티브),해외,주식,환노출,0.5,LSEG
KR7453010001,A453010,ETF,PLUS KOFR금리,453010,0.05,실물(패시브),국내,기타,환노출,0.05,LSEG
KR7428560007,A428560,ETF,KODEX 미국ETF산업Top10 Indxx,428560,0.5,실물(패시브),해외,주식,환노출,0.5,LSEG
KRG510000448,Q510044,ETN,대신 레버리지 미국달러 선물 ETN,510044,,,,,,,
KR7429000003,A429000,ETF,TIGER 미국S&P500배당귀족,429000,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7432600005,A432600,ETF,RISE 국채선물3년,432600,0.07,실물(패시브),국내,채권,환노출,0.07,LSEG
KR7432840007,A432840,ETF,HANARO 미국S&P500,432840,0.045,실물(패시브),해외,주식,환노출,0.045,LSEG
KR7433220001,A433220,ETF,에셋플러스 글로벌대장장이액티브,433220,0.99,실물(액티브),해외,주식,환노출,0.99,LSEG
KR7433250008,A433250,ETF,UNICORN R&D 액티브,433250,0.355,실물(액티브),국내,주식,환노출,0.355,LSEG
KR7433860004,A433860,ETF,PLUS TDF2040액티브,433860,,,,,,,
KR7435530001,A435530,ETF,KIWOOM TDF2030액티브 적격,435530,0.3,실물(액티브),국내&해외,혼합자산,환노출,0.3,LSEG
KR7440640001,A440640,ETF,ACE 단기채권알파액티브,440640,0.15,실물(액티브),국내,채권,환노출,0.15,LSEG
KR7435540000,A435540,ETF,KIWOOM TDF2040액티브 적격,435540,0.34,실물(액티브),국내&해외,혼합자산,환노출,0.34,LSEG
KR7435550009,A435550,ETF,KIWOOM TDF2050액티브 적격,435550,0.38,실물(액티브),국내&해외,혼합자산,환노출,0.38,LSEG
KR7437080005,A437080,ETF,KODEX 미국종합채권ESG액티브(H),437080,0.18,실물(액티브),해외,채권,환헤지,0.18,LSEG
KR7437350002,A437350,ETF,RISE 미국단기투자등급회사채액티브,437350,0.1,실물(액티브),해외,채권,환노출,0.1,LSEG
KR7437370000,A437370,ETF,RISE 글로벌농업경제,437370,0.4,실물(패시브),해외,주식,환노출,0.4,LSEG
KR7438080004,A438080,ETF,ACE 미국S&P500미국채혼합50액티브,438080,0.15,실물(액티브),해외,혼합자산,환노출,0.15,LSEG
KR7438100000,A438100,ETF,ACE 미국나스닥100미국채혼합50액티브,438100,0.15,실물(액티브),해외,혼합자산,환노출,0.15,LSEG
KR7441540002,A441540,ETF,HANARO Fn조선해운,441540,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7441640000,A441640,ETF,KODEX 미국배당커버드콜액티브,441640,0.19,실물(액티브),해외,주식,환노출,0.19,LSEG
KR7441680006,A441680,ETF,TIGER 미국나스닥100커버드콜(합성),441680,0.37,합성(패시브),해외,주식,합성,0.37,LSEG
KR7441800000,A441800,ETF,TIME Korea플러스배당액티브,441800,0.8,실물(액티브),국내,주식,환노출,0.8,LSEG
KR7442260006,A442260,ETF,마이티 다이나믹퀀트액티브,442260,0.295,실물(액티브),국내,주식,환노출,0.295,LSEG
KR7442580007,A442580,ETF,PLUS 글로벌HBM반도체,442580,0.5,실물(패시브),해외,주식,환노출,0.5,LSEG
KRG501100074,Q500007,ETN,신한 인버스 은 선물 ETN(H),500007,,,,,,,
KR7445150006,A445150,ETF,KODEX 친환경조선해운액티브,445150,0.5,실물(액티브),국내,주식,환노출,0.5,LSEG
KR7447620006,A447620,ETF,SOL 미국TOP5채권혼합50,447620,0.25,실물(패시브),국내&해외,혼합자산,환노출,0.25,LSEG
KR7447660002,A447660,ETF,PLUS 애플채권혼합,447660,0.25,실물(패시브),국내&해외,혼합자산,환노출,0.25,LSEG
KR7448490003,A448490,ETF,HANARO 32-10 국고채액티브,448490,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7448540005,A448540,ETF,ACE 엔비디아채권혼합,448540,0.07,실물(패시브),국내&해외,혼합자산,환노출,0.07,LSEG
KR7448570002,A448570,ETF,FOCUS AI코리아액티브,448570,0.455,실물(액티브),국내,주식,환노출,0.455,LSEG
KR7448600007,A448600,ETF,RISE 25-11 회사채(AA-이상)액티브,448600,,,,,,,
KRG502100206,Q500020,ETN,신한 레버리지 다우존스지수 선물 ETN(H),500020,,,,,,,
KR7449180009,A449180,ETF,KODEX 미국S&P500(H),449180,0.009,실물(패시브),해외,주식,환헤지,0.009,LSEG
KR7449580000,A449580,ETF,RISE 테슬라애플아마존채권혼합,449580,0.24,실물(패시브),해외,혼합자산,환노출,0.24,LSEG
KR7450910005,A450910,ETF,SOL 코스닥150,450910,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7451540009,A451540,ETF,TIGER 종합채권(AA-이상)액티브,451540,0.03,실물(액티브),국내,채권,환노출,0.03,LSEG
KR7451600001,A451600,ETF,PLUS 국고채30년액티브,451600,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7452360001,A452360,ETF,SOL 미국배당다우존스(H),452360,0.05,실물(패시브),해외,주식,환헤지,0.05,LSEG
KR7452440001,A452440,ETF,VITA 밸류알파액티브,452440,0.6,실물(액티브),국내,주식,환노출,0.6,LSEG
KRG502400085,Q500008,ETN,신한 인버스 구리 선물 ETN(H),500008,,,,,,,
KR7453080004,A453080,ETF,KIWOOM 미국나스닥100(H),453080,0.04,실물(패시브),해외,주식,환헤지,0.04,LSEG
KR7453650004,A453650,ETF,KODEX 미국S&P500금융,453650,0.25,실물(패시브),해외,주식,환노출,0.25,LSEG
KR7453820003,A453820,ETF,KODEX 인도Nifty50레버리지(합성),453820,0.39,합성(패시브),해외,주식,합성,0.39,LSEG
KR7454180001,A454180,ETF,KIWOOM 차이나내수소비TOP CSI,454180,0.42,실물(패시브),해외,주식,환노출,0.42,LSEG
KR7454780008,A454780,ETF,KIWOOM 종합채권(AA-이상)액티브,454780,0.025,실물(액티브),국내,채권,환노출,0.025,LSEG
KR7455850008,A455850,ETF,SOL AI반도체소부장,455850,0.45,실물(패시브),국내,주식,환노출,0.45,LSEG
KR7459560009,A459560,ETF,KODEX 테슬라밸류체인FactSet,459560,0.18,실물(패시브),해외,주식,환노출,0.18,LSEG
KRG502400101,Q500010,ETN,신한 인버스 다우존스지수 선물 ETN(H),500010,,,,,,,
KR7459790002,A459790,ETF,KIWOOM 미국성장기업30액티브,459790,0.76,실물(액티브),해외,주식,환노출,0.76,LSEG
KR7460660004,A460660,ETF,RISE 미국S&P배당킹,460660,0.01,실물(패시브),해외,주식,환노출,0.01,LSEG
KR7461270001,A461270,ETF,ACE 26-06 회사채(AA-이상)액티브,461270,0.05,실물(액티브),국내,채권,환노출,0.05,LSEG
KR7461450009,A461450,ETF,KODEX 코스닥글로벌,461450,0.09,실물(패시브),국내,주식,환노출,0.09,LSEG
KR7461500001,A461500,ETF,HANARO 종합채권(AA-이상)액티브,461500,0.02,실물(액티브),국내,채권,환노출,0.02,LSEG
KR7461580003,A461580,ETF,TIGER 코스닥글로벌,461580,0.15,실물(패시브),국내,주식,환노출,0.15,LSEG
KR7461900003,A461900,ETF,PLUS 미국테크TOP10,461900,0.01,실물(패시브),해외,주식,환노출,0.01,LSEG
KRG502400135,Q500013,ETN,신한 옥수수 선물 ETN(H),500013,,,,,,,
KR7461910002,A461910,ETF,PLUS 미국테크TOP10레버리지(합성),461910,0.5,합성(패시브),해외,주식,합성,0.5,LSEG
KR7462010000,A462010,ETF,TIGER 2차전지소재Fn,462010,0.39,실물(패시브),국내,주식,환노출,0.39,LSEG
